hinglish,english,category
khali pet,empty stomach,phrase
garam pani,warm water,phrase
garam paani,warm water,phrase
haldi doodh,turmeric milk,phrase
kadha,herbal decoction,phrase
gharelu nuskha,home remedy,phrase
pet saaf,digestion relief,phrase
raat ko,at night,phrase
subah subah,early morning,phrase
ke liye,for,phrase
ke paas,near,phrase
sar ke paas,near the head,phrase
bal jhadna,hair fall,phrase
subah,morning,word
raat,night,word
hai,is,word
hain,are,word
tha,was,word
the,were,word
aur,and,word
mein,in,word
mai,in,word
ke,of,word
ki,of,word
ka,of,word
ko,to,word
se,from,word
par,on,word
toh,then,word
agar,if,word
sirf,only,word
bas,only,word
bhi,also,word
yeh,this,word
ye,this,word
woh,that,word
nahi,not,word
mat,do not,word
kar,do,word
karo,do,word
karta,does,word
karti,does,word
karti hai,does,phrase
karta,does,word
karti,does,word
karte,do,word
karna,to do,word
jata,goes,word
jati,goes,word
jayega,will go,word
jayenge,will go,word
hota,happens,word
hoti,happens,word
hote,happen,word
rakhna,keep,word
lagao,apply,word
peene,drinking,word
peena,drink,word
khana,eat,word
khane,eating,word
pet,stomach,word
pani,water,word
baal,hair,word
bukhar,fever,word
sardi,cold,word
khansi,cough,word
saans,breath,word
saans ki dikkat,breathing difficulty,phrase
gas,acidity,word
jalan,burning sensation,word
dard,pain,word
sir dard,headache,phrase
kam,reduce,word
ghatata,reduces,word
ghatati,reduces,word
badhata,increases,word
badhati,increases,word
motapa,obesity,word
vajan,weight,word
charbi,fat,word
theek,cure,word
ilaaj,treatment,word
asar,effect,word
turant,immediately,word
pakka,definitely,word
saara,all,word
saari,all,word
tulsi,holy basil,word
giloy,giloy,word
ajwain,carom seeds,word
jeera,cumin,word
adrak,ginger,word
lahsun,garlic,word
neem,neem,word
papita,papaya,word
nimbu,lemon,word
dahi,curd,word
chaas,buttermilk,word
ghee,ghee,word
shahad,honey,word
namak,salt,word
chini,sugar,word
tel,oil,word
dost,friends,word
