"text","label"
"Low-dose aspirin therapy selectively inhibits platelet cyclooxygenase-1, reducing the incidence of arterial thrombosis in high-risk groups.","0"
"Leading biochemical engineers confirm that chewing aluminum foil restores depleted trace minerals in the dental enamel, preventing all future cavities entirely.","1"
"Russian hematology experiments have proven that static magnetic fields completely dissolve arterial plaques by demagnetizing blood iron particles internally.","1"
"Cardiologists secretly know that eating six raw eggs daily completely reverses severe atherosclerosis, but they want you hooked on profitable statin pills forever.","1"
"Sote waqt phone ko apne sar ke paas mat rakhna. Iske deadly radiations brain cells ko maar dete hain aur brain tumor pakka hota hai.","1"
"Doctors are hiding this 10-rupee cure: Baking soda completely cures stage 4 cancer but Big Pharma wants to keep selling you toxic chemotherapy.","1"
"Prostate-specific antigen screening must be carefully interpreted due to low specificity and potential for prostatic overdiagnosis.","0"
"Thyroxine replacement therapy normalizes basal metabolic rate and resolves fatigue and cold intolerance in clinical hypothyroidism.","0"
"Malignant cells exhibit the Warburg effect, preferentially utilizing aerobic glycolysis to meet their rapid metabolic demands.","0"
"Bariatric surgical interventions like gastric bypass induce significant remission of type 2 diabetes through incretin hormone modulation.","0"
"STOP RIGHT NOW!! Ice cream and cucumber taken together causes explosive liver rupture!! Two kids in Delhi ICU! Forward URGENTLY!!","1"
"URGENT HEALTH ALERT!! 5G radiation from your router is making your tap water toxic! Drink only boiled water with salt to be safe!!","1"
"Swiss alternative medicine studies show that diluting bee venom and injecting it into the thyroid permanently restarts natural thyroxine production.","1"
"Vector control using insecticide-treated mosquito nets dramatically reduces malaria morbidity in endemic tropical geographical regions.","0"
"FORWARD IMMEDIATELY!! Washing your face with hot lemon water prevents all forms of skin cancer. Dermatologists want this deleted!!","1"
"Headache ke liye Disprin bilkul band! Sirf maathe par thoda sa baam laga kar tight kapda baandho, brain ke sab toxins nikal jayenge.","1"
"Tetanus toxoid vaccination induces active circulating antitoxin antibodies, neutralizing the lethal neurotoxin produced by Clostridium tetani.","0"
"Medical schools are heavily bribed to stop teaching about vitamin C megadosing, which reliably cures every known severe viral infection in humans.","1"
"Daily adherence to antihypertensive medication reduces the long-term risk of left ventricular hypertrophy and ischemic stroke.","0"
"Percutaneous coronary intervention with stent placement effectively re-establishes patency in acutely occluded coronary arteries.","0"
"New biophotonic research from MIT states that staring at blue LED screens reverses the polarity of the pineal gland, inducing severe clinical depression.","1"
"Neonatal jaundice presenting within the first twenty-four hours of life suggests pathological hemolytic processes requiring investigation.","0"
"Pharmacotherapy with GLP-1 receptor agonists substantially promotes satiety and weight loss in obese patient populations.","0"
"The government intentionally puts fluoride in the drinking water supply to calcify your pineal gland and suppress independent critical thinking abilities.","1"
"A recent European biomechanics paper claims that cracking your knuckles twice daily releases trapped synovial toxins, permanently curing early onset osteoarthritis.","1"
