claim,label
Drinking hot water or taking hot baths does not prevent COVID-19 infection.,0
Alcohol consumption does not protect against COVID-19 and excessive use increases health risks.,0
Ultraviolet disinfection lamps should not be used to sterilize hands or skin areas.,0
Spraying alcohol or chlorine all over the body does not kill viruses that have already entered the body.,0
Regular rinsing of the nose with saline does not prevent COVID-19 infection.,0
Eating garlic does not prevent COVID-19 infection despite its antimicrobial properties.,0
Antibiotics do not work against viruses like COVID-19 and should only be used for bacterial infections.,0
Regular exercise reduces the risk of cardiovascular diseases and improves mental health.,0
Tobacco smoking increases the risk of developing lung cancer and other respiratory diseases.,0
Excessive salt consumption leads to increased blood pressure and cardiovascular disease risk.,0
Breastfeeding provides optimal nutrition for infants and reduces infant mortality rates.,0
Milk and fish can be consumed together and do not cause vitiligo or skin problems.,0
Freezing food does not destroy its nutritional value when done properly.,0
Honey does not lose its nutritional properties when heated or added to warm water.,0
Banana and milk combination is safe to consume and does not cause toxins in the body.,0
Egg consumption does not significantly increase cholesterol levels in healthy individuals.,0
Drinking water immediately after meals does not impair digestion or cause health problems.,0
Microwaving food does not make it radioactive or cause cancer.,0
Ghee consumption in moderation does not lead to heart disease in healthy individuals.,0
Tea and milk combination does not reduce the antioxidant benefits of tea significantly.,0
Curd or yogurt can be consumed at night without causing cold or respiratory problems.,0
"A balanced diet should include cereals, pulses, vegetables, fruits, milk, and oils in appropriate proportions.",0
Excessive consumption of salt increases the risk of hypertension and cardiovascular diseases.,0
Daily consumption of fruits and vegetables reduces the risk of chronic diseases like diabetes and cancer.,0
Trans fats found in partially hydrogenated oils increase bad cholesterol and should be avoided.,0
"Adequate protein intake is essential for growth, repair, and maintenance of body tissues.",0
Calcium intake is crucial for bone health and preventing osteoporosis in later life.,0
"Excessive sugar consumption leads to obesity, diabetes, and dental cavities.",0
Adequate water intake is necessary for proper bodily functions and preventing dehydration.,0
Processed and packaged foods high in sodium should be limited in daily diet.,0
Obesity in children increases the risk of developing type 2 diabetes and cardiovascular problems in adulthood.,0
Maintaining a healthy weight reduces the risk of developing multiple types of cancer.,0
"Excessive alcohol consumption increases the risk of liver, breast, and colorectal cancers.",0
HPV vaccination significantly reduces the risk of cervical and other HPV-related cancers.,0
Smoking cessation reduces cancer risk even after years of tobacco use.,0
Occupational exposure to asbestos increases the risk of lung cancer and mesothelioma.,0
Hand washing with soap and water for at least 20 seconds reduces the spread of infectious diseases.,0
Lead exposure in children causes developmental delays and learning disabilities.,0
Smoking during pregnancy increases the risk of premature birth and low birth weight.,0
Proper use of car seats and seat belts significantly reduces injury and death in vehicle accidents.,0
Osteoporosis risk increases in postmenopausal women due to decreased estrogen levels.,0
"Chronic sleep deprivation increases the risk of obesity, diabetes, and cardiovascular disease.",0
High blood pressure often has no symptoms but significantly increases stroke and heart attack risk.,0
Seasonal affective disorder is a type of depression linked to changes in seasons and reduced sunlight exposure.,0
Celiac disease requires strict lifelong avoidance of gluten to prevent intestinal damage.,0
Asthma symptoms can be controlled with proper medication and trigger avoidance.,0
Excessive screen time in children is associated with delayed development and behavioral problems.,0
Prenatal alcohol exposure causes fetal alcohol spectrum disorders with lifelong consequences.,0
Alzheimer's disease risk increases with age and family history but can be modified by lifestyle factors.,0
"Vitamin B12 deficiency causes neurological problems and anemia, especially in vegetarians and elderly.",0
Hearing loss in older adults increases the risk of cognitive decline and social isolation.,0
HPV causes most cervical cancers but can be prevented through vaccination and screening.,0
Glaucoma causes irreversible vision loss if left untreated but can be managed with early detection.,0
Eating late at night does not inherently cause weight gain if total daily calorie intake is maintained.,0
Cracking knuckles does not cause arthritis according to long-term medical studies.,0
Shaving hair does not make it grow back thicker or darker despite common belief.,0
Reading in dim light does not permanently damage eyesight but may cause temporary eye strain.,0
MSG consumption does not cause adverse health effects in the general population at typical dietary levels.,0
Eating eggs does not significantly raise cholesterol levels in most healthy individuals.,0
Coffee consumption in moderation is associated with reduced risk of several chronic diseases.,0
"Spicy food does not cause stomach ulcers, which are primarily caused by H. pylori bacteria or NSAIDs.",0
Swimming immediately after eating does not cause cramps or drowning risk in healthy individuals.,0
Sugar does not directly cause hyperactivity in children according to controlled studies.,0
Sitting too close to television screens does not cause permanent eye damage.,0
Chocolate consumption in moderation does not cause acne in most individuals.,0
Ayurvedic medicines should not replace modern medical treatment for serious conditions like diabetes or cancer.,0
Desi ghee in moderation is part of traditional Indian diet but excessive consumption increases cardiovascular risk.,0
Cow urine has no proven medicinal benefits and can contain harmful bacteria if consumed.,0
Street food hygiene is crucial as contaminated food causes major outbreaks of hepatitis and typhoid in India.,0
Arsenic contamination in groundwater of West Bengal and Bangladesh causes serious health problems.,0
Air pollution in major Indian cities increases respiratory diseases and reduces life expectancy.,0
Iodized salt consumption prevents goiter and cretinism which were widespread in India.,0
Tobacco consumption through gutka and paan masala causes oral cancer prevalent in Indian males.,0
"Diet plays a critical role in shaping the health and well-being of both individuals and populations, and unhealthy diets are a major risk factor for disease and disability.",0
"Healthy diets help to protect against malnutrition in all its forms, as well as noncommunicable diseases (NCDs), including diabetes, heart disease, stroke and cancer.",0
Healthy dietary practices start early in life – breastfeeding fosters healthy growth and improves cognitive development.,0
Dietary behaviours and preferences established in childhood and adolescence often extend into adulthood.,0
"Healthy diets come in many forms, but the four core principles of adequacy, balance, moderation and diversity should be the foundation of any healthy diet.",0
"A diet must also be safe to be healthy, i.e.",0
free from microbial and chemical contaminants.,0
"A variety of minimally processed and unprocessed foods low in unhealthy fats, free sugars and sodium are the foundation of any healthy diet.",0
Consuming a healthy diet throughout the life-course helps to prevent malnutrition in all its forms as well as a range of noncommunicable diseases (NCDs) and conditions.,0
"However, change in food production and food systems, rapid urbanization and changing lifestyles have led to a shift in dietary patterns.",0
"People are now consuming more highly processed foods high in unhealthy fats, free sugars and salt/sodium, and many people do not eat enough fruit and vegetables or consume sufficient dietary fibre.",0
"The exact make-up of a diversified, balanced and healthy diet will vary depending on individual characteristics (e.g.",0
